id,p_EF,p_INF,p_ADR,p_DI,p_Finding
1200838666136018946,0.03498738259077072,0.03990393131971359,0.04186737537384033,0.16239109635353088,0.5566306710243225
1201160737416196101,0.007356132846325636,0.026364745572209358,0.08305639028549194,0.019562045112252235,0.06878794729709625
1202167857615912961,0.023077141493558884,0.042415689677000046,0.8447914123535156,0.07068604975938797,0.09978564828634262
1202511585744498690,0.08752435445785522,0.006551617290824652,0.033366672694683075,0.025349536910653114,0.04134728014469147
1202519545501667334,0.017855804413557053,0.009747963398694992,0.02684968151152134,0.8521056175231934,0.23876135051250458
1200503613023555584,0.015059288591146469,0.012169287540018559,0.019456496462225914,0.027984168380498886,0.04197441041469574
1201938586213466113,0.020701181143522263,0.012346817180514336,0.015503832139074802,0.9424530863761902,0.07217927277088165
1201891253362843650,0.25767621397972107,0.004965472035109997,0.021384235471487045,0.8926376700401306,0.1192527562379837
1201622202812116993,0.027101261541247368,0.008130489848554134,0.1176430955529213,0.028545347973704338,0.05948059260845184
1199336504452993024,0.01276758685708046,0.013367909006774426,0.0261871125549078,0.0249936580657959,0.04514242336153984
1200526724238397440,0.01458723098039627,0.01626591384410858,0.018824176862835884,0.02367260865867138,0.0332510732114315
1200885839502434306,0.012102944776415825,0.014445659704506397,0.02519206516444683,0.03071143850684166,0.03821050748229027
1199758777643343876,0.0151054747402668,0.01601565256714821,0.025377318263053894,0.02303379774093628,0.05898985266685486
1200693598045589507,0.04097583517432213,0.2044721394777298,0.9524943232536316,0.08308019489049911,0.0808982104063034
1201889993519710209,0.011942571960389614,0.016627512872219086,0.023881157860159874,0.02645869366824627,0.03604044020175934
1200931076149002240,0.008956546895205975,0.013256275095045567,0.08210474252700806,0.02872033230960369,0.07369767129421234
1177488230024769536,0.02603856474161148,0.044483430683612823,0.8002582788467407,0.013463657349348068,0.17437757551670074
1155406014805663746,0.03249514475464821,0.2669110596179962,0.9176181554794312,0.12445423752069473,0.08722122758626938
1148370249839984640,0.31609830260276794,0.9650164246559143,0.09709847718477249,0.9694324135780334,0.16867339611053467
1176990084811427840,0.9245554208755493,0.04151631519198418,0.337569922208786,0.958490252494812,0.12865614891052246
1176548845158903810,0.020460262894630432,0.018541870638728142,0.725246012210846,0.017924200743436813,0.13554486632347107
1171085090656587777,0.046232160180807114,0.026990292593836784,0.9478093981742859,0.047626085579395294,0.1337403953075409
1169640190710824962,0.012497530318796635,0.02764962799847126,0.25514155626296997,0.01065164152532816,0.06672993302345276
1168552709299023873,0.027428727596998215,0.029368149116635323,0.9074864983558655,0.025067390874028206,0.15328684449195862
1159068259095928833,0.041341908276081085,0.013677069917321205,0.06479032337665558,0.6289404630661011,0.34259217977523804
1157030888766676999,0.0077730813063681126,0.06656351685523987,0.0494970865547657,0.04267791286110878,0.1309046596288681
1154083035219943425,0.0642940104007721,0.010122907347977161,0.007008120883256197,0.10139649361371994,0.046966977417469025
1153918396515401728,0.023515215143561363,0.04700664058327675,0.12370788305997849,0.0733884871006012,0.5650247931480408
1152465360874102785,0.010676261968910694,0.017522482201457024,0.035326503217220306,0.02059830352663994,0.057622842490673065
1147190433514172416,0.010401406325399876,0.012182421050965786,0.019984861835837364,0.0648135095834732,0.08373074233531952
1146805046987956228,0.010600688867270947,0.015964282676577568,0.03415414318442345,0.02323186956346035,0.04609718173742294
1146729068857057280,0.02755754627287388,0.01656320132315159,0.8186221718788147,0.37050074338912964,0.37925392389297485
1143970818919206912,0.015534297563135624,0.01526221726089716,0.10317910462617874,0.024854708462953568,0.22230787575244904
1133737082675978241,0.022174596786499023,0.042772527784109116,0.06890951097011566,0.047011133283376694,0.38059356808662415
1133681533850669056,0.008327864110469818,0.01428008172661066,0.03836972266435623,0.05005344748497009,0.08390790224075317
1133681345325150212,0.034198734909296036,0.011969925835728645,0.01527971401810646,0.26281625032424927,0.11328530311584473
1127189743811399681,0.015289481729269028,0.01593531109392643,0.020201925188302994,0.9482042193412781,0.15433861315250397
1126232843330445317,0.009084746241569519,0.024406610056757927,0.05219803377985954,0.157510906457901,0.3713788688182831
1123521304337035265,0.05604512244462967,0.2390529215335846,0.9649254083633423,0.06751520186662674,0.08144925534725189
1118803017896218624,0.01986643671989441,0.01052958332002163,0.055226437747478485,0.31454846262931824,0.3031497895717621
1118801295555616769,0.01908850111067295,0.030536271631717682,0.1479066163301468,0.06641975790262222,0.2645867168903351
1118795323131006976,0.33965417742729187,0.02003570646047592,0.017009537667036057,0.011528139002621174,0.017257029190659523
1118791802465681409,0.020634792745113373,0.04645884409546852,0.04037725180387497,0.4951154291629791,0.5720205903053284
1117696888965406720,0.10486005246639252,0.007084929849952459,0.04151454195380211,0.5411102175712585,0.3370001018047333
1113515399436492803,0.9725551605224609,0.009690878912806511,0.03575284034013748,0.48035454750061035,0.08554020524024963
1113513796629356546,0.07044358551502228,0.005554097704589367,0.013434655033051968,0.8850311040878296,0.13607603311538696
1112279998843506688,0.01888379454612732,0.013376929797232151,0.012719834223389626,0.049829091876745224,0.06251060217618942
1112266385634271237,0.012280070222914219,0.020281406119465828,0.017415300011634827,0.02675880491733551,0.039772309362888336
1110187010940116994,0.007347308564931154,0.042360834777355194,0.05250488966703415,0.02682415395975113,0.044214293360710144
1108708473154519040,0.016149766743183136,0.020251115784049034,0.014998135156929493,0.06468996405601501,0.10148028284311295
1105150208038653952,0.011074995622038841,0.009424088522791862,0.10003916174173355,0.03197850286960602,0.07368854433298111
1096753107302842368,0.009948017075657845,0.022675443440675735,0.030413122847676277,0.023259105160832405,0.0357278510928154
1095357735380701184,0.028249770402908325,0.013435394503176212,0.02411249652504921,0.016246255487203598,0.03171304613351822
1089977269400031232,0.0217591505497694,0.012780745513737202,0.015284412540495396,0.9116445183753967,0.20275616645812988
1089391878125076480,0.03805035352706909,0.008616769686341286,0.019151704385876656,0.6161327362060547,0.12536588311195374
1088127064690040832,0.9740480780601501,0.01589503511786461,0.49315813183784485,0.8542531728744507,0.225544735789299
1069585942393040896,0.03609904646873474,0.01398277748376131,0.009620954282581806,0.03830695152282715,0.038286950439214706
1066358679438589952,0.023140886798501015,0.014321337454020977,0.022675655782222748,0.020114390179514885,0.060849495232105255
1061308453539508236,0.018373891711235046,0.03226349130272865,0.4295767545700073,0.0929538905620575,0.6409866809844971
1061241600196702208,0.019170299172401428,0.01768779195845127,0.01389922946691513,0.936570405960083,0.1746639460325241
1057284268177661953,0.02397296577692032,0.011304434388875961,0.045173708349466324,0.025724472478032112,0.09745774418115616
1055004479995760641,0.02550503797829151,0.01923183538019657,0.043805450201034546,0.07775440812110901,0.30998852849006653
1050398024076337152,0.018713710829615593,0.01359329093247652,0.015291204676032066,0.9442724585533142,0.0617833286523819
1049906747337523200,0.016747059300541878,0.051012180745601654,0.015610135160386562,0.9672139883041382,0.12157776206731796
1043285093622706176,0.011536641046404839,0.030220335349440575,0.029939955100417137,0.02680329792201519,0.11570468544960022
1028203878393761793,0.009106685407459736,0.025195451453328133,0.07573506981134415,0.3026786148548126,0.3592212498188019
1028199414798708736,0.007575395051389933,0.014130018651485443,0.02963794395327568,0.6566537022590637,0.15597359836101532
1028198583454126080,0.04908193647861481,0.01299214269965887,0.010802431963384151,0.7619872093200684,0.16491083800792694
1028191905383952384,0.009009221568703651,0.011975793167948723,0.255158931016922,0.6151496171951294,0.3897266685962677
1028160267325202432,0.017237341031432152,0.013713023625314236,0.38585755228996277,0.03192177042365074,0.28341585397720337
1027121342385143808,0.013048726134002209,0.0166352316737175,0.06131694093346596,0.9175611138343811,0.1303725242614746
1023505811337826305,0.011517710983753204,0.012347004376351833,0.037953153252601624,0.04623856395483017,0.12862975895404816
1010406959391166464,0.013952266424894333,0.02041516825556755,0.7181798815727234,0.21373748779296875,0.5388611555099487
1008445200241496065,0.01714531145989895,0.013607120141386986,0.3509245216846466,0.02197088859975338,0.25717273354530334
999925203596599297,0.01252841018140316,0.01422808226197958,0.01626683585345745,0.03863753378391266,0.03456705063581467
